GEOID,county_idx,NAME
12115,0,Sarasota
12081,1,Manatee
12027,2,DeSoto
12015,3,Charlotte
12049,4,Hardee
12057,5,Hillsborough
12071,6,Lee
12103,7,Pinellas
12105,8,Polk
12055,9,Highlands
12043,10,Glades
12051,11,Hendry
12021,12,Collier
12101,13,Pasco
12093,14,Okeechobee
12097,15,Osceola
12119,16,Sumter
12069,17,Lake
12053,18,Hernando
12085,19,Martin
12099,20,Palm Beach
12095,21,Orange
12061,22,Indian River
12087,23,Monroe
12009,24,Brevard
12111,25,St. Lucie
12011,26,Broward
12017,27,Citrus
12117,28,Seminole
12086,29,Miami-Dade
12083,30,Marion
12075,31,Levy
12127,32,Volusia
12029,33,Dixie
12107,34,Putnam
12035,35,Flagler
12001,36,Alachua
12041,37,Gilchrist
12123,38,Taylor
12109,39,St. Johns
12007,40,Bradford
12019,41,Clay
12067,42,Lafayette
12023,43,Columbia
12121,44,Suwannee
12125,45,Union
12129,46,Wakulla
12065,47,Jefferson
12037,48,Franklin
12003,49,Baker
12031,50,Duval
12079,51,Madison
12089,52,Nassau
12047,53,Hamilton
12045,54,Gulf
13049,55,Charlton
12077,56,Liberty
12005,57,Bay
12073,58,Leon
13299,59,Ware
13065,60,Clinch
13101,61,Echols
13185,62,Lowndes
13027,63,Brooks
13275,64,Thomas
12039,65,Gadsden
13039,66,Camden
12013,67,Calhoun
13173,68,Lanier
13131,69,Grady
13087,70,Decatur
13025,71,Brantley
13019,72,Berrien
13075,73,Cook
13127,74,Glynn
13071,75,Colquitt
12063,76,Jackson
13253,77,Seminole
13003,78,Atkinson
13229,79,Pierce
13205,80,Mitchell
12133,81,Washington
12131,82,Walton
13007,83,Baker
13305,84,Wayne
13277,85,Tift
13191,86,McIntosh
13069,87,Coffee
13201,88,Miller
13321,89,Worth
13005,90,Bacon
01069,91,Houston
13001,92,Appling
13155,93,Irwin
13099,94,Early
12059,95,Holmes
13095,96,Dougherty
13183,97,Long
12091,98,Okaloosa
13287,99,Turner
13179,100,Liberty
13017,101,Ben Hill
13037,102,Calhoun
13161,103,Jeff Davis
01061,104,Geneva
13177,105,Lee
01067,106,Henry
13271,107,Telfair
13267,108,Tattnall
13273,109,Terrell
13029,110,Bryan
13051,111,Chatham
13061,112,Clay
13081,113,Crisp
13315,114,Wilcox
13243,115,Randolph
01045,116,Dale
12113,117,Santa Rosa
13091,118,Dodge
13279,119,Toombs
13309,120,Wheeler
13209,121,Montgomery
12033,122,Escambia
01031,123,Coffee
13261,124,Sumter
01039,125,Covington
13109,126,Evans
13093,127,Dooly
13235,128,Pulaski
13307,129,Webster
13239,130,Quitman
13175,131,Laurens
13103,132,Effingham
45053,133,Jasper
13031,134,Bulloch
01005,135,Barbour
13259,136,Stewart
45013,137,Beaufort
13043,138,Candler
13193,139,Macon
13023,140,Bleckley
13283,141,Treutlen
13107,142,Emanuel
13249,143,Schley
01109,144,Pike
01053,145,Escambia
13197,146,Marion
13153,147,Houston
01003,148,Baldwin
01041,149,Crenshaw
01113,150,Russell
01035,151,Conecuh
13289,152,Twiggs
13053,153,Chattahoochee
01011,154,Bullock
13225,155,Peach
13167,156,Johnson
13269,157,Taylor
13251,158,Screven
13319,159,Wilkinson
13165,160,Jenkins
01013,161,Butler
45049,162,Hampton
13079,163,Crawford
45029,164,Colleton
13215,165,Muscogee
13021,166,Bibb
01101,167,Montgomery
01087,168,Macon
01097,169,Mobile
13263,170,Talbot
13303,171,Washington
45019,172,Charleston
13163,173,Jefferson
45005,174,Allendale
13033,175,Burke
13293,176,Upson
01081,177,Lee
13145,178,Harris
13169,179,Jones
01085,180,Lowndes
13207,181,Monroe
13009,182,Baldwin
01099,183,Monroe
28059,184,Jackson
13171,185,Lamar
13199,186,Meriwether
22075,187,Plaquemines
13141,188,Hancock
01131,189,Wilcox
45035,190,Dorchester
01051,191,Elmore
01017,192,Chambers
01123,193,Tallapoosa
13125,194,Glascock
45009,195,Bamberg
45011,196,Barnwell
13231,197,Pike
13285,198,Troup
22087,199,St. Bernard
01025,200,Clarke
13237,201,Putnam
45015,202,Berkeley
13159,203,Jasper
45003,204,Aiken
13245,205,Richmond
13035,206,Butts
01129,207,Washington
01047,208,Dallas
13301,209,Warren
01001,210,Autauga
13255,211,Spalding
13189,212,McDuffie
45075,213,Orangeburg
28039,214,George
28047,215,Harrison
13073,216,Columbia
13133,217,Greene
13151,218,Henry
13077,219,Coweta
13113,220,Fayette
01037,221,Coosa
13217,222,Newton
13265,223,Taliaferro
13211,224,Morgan
01111,225,Randolph
28041,226,Greene
13149,227,Heard
13063,228,Clayton
45037,229,Edgefield
01021,230,Chilton
45065,231,McCormick
13317,232,Wilkes
01027,233,Clay
13247,234,Rockdale
01091,235,Marengo
45017,236,Calhoun
13181,237,Lincoln
13297,238,Walton
28131,239,Stone
45043,240,Georgetown
45027,241,Clarendon
01023,242,Choctaw
13221,243,Oglethorpe
13121,244,Fulton
01105,245,Perry
13045,246,Carroll
45089,247,Williamsburg
13089,248,DeKalb
13219,249,Oconee
45063,250,Lexington
28111,251,Perry
28045,252,Hancock
28153,253,Wayne
01121,254,Talladega
13097,255,Douglas
45085,256,Sumter
13135,257,Gwinnett
45081,258,Saluda
01029,259,Cleburne
13059,260,Clarke
01117,261,Shelby
01007,262,Bibb
22103,263,St. Tammany
45079,264,Richland
22051,265,Jefferson
01065,266,Hale
13067,267,Cobb
13013,268,Barrow
28035,269,Forrest
13105,270,Elbert
45047,271,Greenwood
28109,272,Pearl River
22071,273,Orleans
13143,274,Haralson
13223,275,Paulding
13157,276,Jackson
13195,277,Madison
45001,278,Abbeville
22057,279,Lafourche
01119,280,Sumter
01015,281,Calhoun
28023,282,Clarke
28067,283,Jones
01063,284,Greene
45071,285,Newberry
01115,286,St. Clair
13117,287,Forsyth
45051,288,Horry
13139,289,Hall
28073,290,Lamar
45041,291,Florence
13233,292,Polk
45061,293,Lee
45055,294,Kershaw
13147,295,Hart
45059,296,Laurens
13057,297,Cherokee
45007,298,Anderson
45067,299,Marion
13011,300,Banks
01125,301,Tuscaloosa
13119,302,Franklin
45039,303,Fairfield
13015,304,Bartow
01073,305,Jefferson
28075,306,Lauderdale
22109,307,Terrebonne
22089,308,St. Charles
28061,309,Jasper
01019,310,Cherokee
45031,311,Darlington
13115,312,Floyd
22117,313,Washington
28091,314,Marion
01055,315,Etowah
13085,316,Dawson
28031,317,Covington
22095,318,St. John the Baptist
22105,319,Tangipahoa
13137,320,Habersham
45073,321,Oconee
45087,322,Union
13257,323,Stephens
28069,324,Kemper
45045,325,Greenville
13187,326,Lumpkin
13227,327,Pickens
28147,328,Walthall
01009,329,Blount
13311,330,White
45057,331,Lancaster
28065,332,Jefferson Davis
28101,333,Newton
45025,334,Chesterfield
28129,335,Smith
13129,336,Gordon
37019,337,Brunswick
45083,338,Spartanburg
01107,339,Pickens
45077,340,Pickens
45023,341,Chester
01127,342,Walker
45033,343,Dillon
13055,344,Chattooga
37047,345,Columbus
45069,346,Marlboro
13123,347,Gilmer
01049,348,DeKalb
13111,349,Fannin
13291,350,Union
28103,351,Noxubee
13241,352,Rabun
22063,353,Livingston
01095,354,Marshall
22093,355,St. James
13213,356,Murray
01057,357,Fayette
01043,358,Cullman
28127,359,Simpson
28099,360,Neshoba
28077,361,Lawrence
37129,362,New Hanover
22005,363,Ascension
37155,364,Robeson
13281,365,Towns
13313,366,Whitfield
28123,367,Scott
13295,368,Walker
28113,369,Pike
45091,370,York
45021,371,Cherokee
37179,372,Union
22007,373,Assumption
22091,374,St. Helena
01133,375,Winston
01075,376,Lamar
28087,377,Lowndes
28159,378,Winston
01071,379,Jackson
13083,380,Dade
37007,381,Anson
28085,382,Lincoln
37113,383,Macon
37099,384,Jackson
28121,385,Rankin
37043,386,Clay
37165,387,Scotland
01103,388,Morgan
22101,389,St. Mary
37175,390,Transylvania
13047,391,Catoosa
37039,392,Cherokee
37017,393,Bladen
22099,394,St. Martin
28079,395,Leake
28005,396,Amite
37153,397,Richmond
22033,398,East Baton Rouge
47139,399,Polk
37119,400,Mecklenburg
28029,401,Copiah
01089,402,Madison
01093,403,Marion
37089,404,Henderson
28105,405,Oktibbeha
47011,406,Bradley
22047,407,Iberville
37141,408,Pender
22037,409,East Feliciana
37149,410,Polk
37161,411,Rutherford
37045,412,Cleveland
37071,413,Gaston
47065,414,Hamilton
01079,415,Lawrence
28025,416,Clay
37093,417,Hoke
22045,418,Iberia
37075,419,Graham
22121,420,West Baton Rouge
28095,421,Monroe
37087,422,Haywood
28037,423,Franklin
28007,424,Attala
47123,425,Monroe
37173,426,Swain
47115,427,Marion
37167,428,Stanly
01083,429,Limestone
37025,430,Cabarrus
37163,431,Sampson
28019,432,Choctaw
28049,433,Hinds
37123,434,Montgomery
28089,435,Madison
37051,436,Cumberland
47107,437,McMinn
37125,438,Moore
01059,439,Franklin
37021,440,Buncombe
47051,441,Franklin
37109,442,Lincoln
47153,443,Sequatchie
28157,444,Wilkinson
47121,445,Meigs
28063,446,Jefferson
37133,447,Onslow
47009,448,Blount
37111,449,McDowell
37061,450,Duplin
22125,451,West Feliciana
22077,452,Pointe Coupee
28057,453,Itawamba
47103,454,Lincoln
37097,455,Iredell
28155,456,Webster
37023,457,Burke
47155,458,Sevier
28017,459,Chickasaw
28021,460,Claiborne
37035,461,Catawba
47061,462,Grundy
37159,463,Rowan
47007,464,Bledsoe
47143,465,Rhea
01033,466,Colbert
28097,467,Montgomery
28163,468,Yazoo
37085,469,Harnett
28051,470,Holmes
37115,471,Madison
47127,472,Moore
01077,473,Lauderdale
47105,474,Loudon
37057,475,Davidson
37199,476,Yancey
28001,477,Adams
28081,478,Lee
37151,479,Randolph
47031,480,Coffee
47029,481,Cocke
37105,482,Lee
47055,483,Giles
28015,484,Carroll
22097,485,St. Landry
47145,486,Roane
28013,487,Calhoun
37027,488,Caldwell
28149,489,Warren
22113,490,Vermilion
28141,491,Tishomingo
37121,492,Mitchell
37003,493,Alexander
37031,494,Carteret
37037,495,Chatham
28115,496,Pontotoc
47175,497,Van Buren
47177,498,Warren
47093,499,Knox
22055,500,Lafayette
37059,501,Davie
47099,502,Lawrence
22029,503,Concordia
47003,504,Bedford
37101,505,Johnston
47089,506,Jefferson
28117,507,Prentiss
37011,508,Avery
47059,509,Greene
37103,510,Jones
28043,511,Grenada
37107,512,Lenoir
47117,513,Marshall
37191,514,Wayne
47035,515,Cumberland
47171,516,Unicoi
22107,517,Tensas
22065,518,Madison
47001,519,Anderson
28055,520,Issaquena
47185,521,White
22009,522,Avoyelles
28053,523,Humphreys
28125,524,Sharkey
37193,525,Wilkes
47181,526,Wayne
37049,527,Craven
47129,528,Morgan
37183,529,Wake
28161,530,Yalobusha
28145,531,Union
47015,532,Cannon
47063,533,Hamblen
47179,534,Washington
47019,535,Carter
22001,536,Acadia
47057,537,Grainger
28083,538,Leflore
37067,539,Forsyth
37189,540,Watauga
37081,541,Guilford
37197,542,Yadkin
47149,543,Rutherford
28071,544,Lafayette
37001,545,Alamance
47119,546,Maury
28003,547,Alcorn
47041,548,DeKalb
22025,549,Catahoula
47173,550,Union
47071,551,Hardin
28139,552,Tippah
47141,553,Putnam
22035,554,East Carroll
37079,555,Greene
47073,556,Hawkins
22041,557,Franklin
22039,558,Evangeline
37135,559,Orange
47013,560,Campbell
37009,561,Ashe
47091,562,Johnson
37137,563,Pamlico
47151,564,Scott
28133,565,Sunflower
28135,566,Tallahatchie
28151,567,Washington
37063,568,Durham
47101,569,Lewis
37171,570,Surry
22023,571,Cameron
47049,572,Fentress
37195,573,Wilson
47187,574,Williamson
47025,575,Claiborne
47133,576,Overton
37147,577,Pitt
22059,578,LaSalle
47109,579,McNairy
47189,580,Wilson
22079,581,Rapides
47163,582,Sullivan
37169,583,Stokes
47067,584,Hancock
28009,585,Benton
28093,586,Marshall
37005,587,Alleghany
28107,588,Panola
37127,589,Nash
22053,590,Jefferson Davis
37157,591,Rockingham
22083,592,Richland
47159,593,Smith
37069,594,Franklin
37013,595,Beaufort
47135,596,Perry
22123,597,West Carroll
47081,598,Hickman
47087,599,Jackson
47039,600,Decatur
22021,601,Caldwell
37033,602,Caswell
37065,603,Edgecombe
47037,604,Davidson
05017,605,Chicot
22003,606,Allen
37077,607,Granville
47069,608,Hardeman
22043,609,Grant
28119,610,Quitman
51169,611,Scott
51105,612,Lee
51191,613,Washington
51520,614,Bristol
51077,615,Grayson
28011,616,Bolivar
21013,617,Bell
47137,618,Pickett
37145,619,Person
21235,620,Whitley
51035,621,Carroll
51173,622,Smyth
51141,623,Patrick
47077,624,Henderson
21147,625,McCreary
28137,626,Tate
21095,627,Harlan
22019,628,Calcasieu
47027,629,Clay
47023,630,Chester
51640,631,Galax
22067,632,Morehouse
37095,633,Hyde
51167,634,Russell
28027,635,Coahoma
47169,636,Trousdale
21121,637,Knox
51089,638,Henry
37181,639,Vance
47043,640,Dickson
21231,641,Wayne
47021,642,Cheatham
47047,643,Fayette
47111,644,Macon
05003,645,Ashley
37117,646,Martin
47165,647,Sumner
51143,648,Pittsylvania
21053,649,Clinton
51195,650,Wise
51197,651,Wythe
22073,652,Ouachita
47085,653,Humphreys
22127,654,Winn
51063,655,Floyd
51590,656,Danville
22115,657,Vernon
21057,658,Cumberland
51690,659,Martinsville
28033,660,DeSoto
21171,661,Monroe
37185,662,Warren
05041,663,Desha
21131,664,Leslie
47005,665,Benton
51083,666,Halifax
51720,667,Norton
37083,668,Halifax
22011,669,Beauregard
37187,670,Washington
47113,671,Madison
28143,672,Tunica
51185,673,Tazewell
37055,674,Dare
21051,675,Clay
51051,676,Dickenson
22049,677,Jackson
21133,678,Letcher
37015,679,Bertie
51155,680,Pulaski
51067,681,Franklin
47147,682,Robertson
51021,683,Bland
21199,684,Pulaski
47017,685,Carroll
21193,686,Perry
05043,687,Drew
47157,688,Shelby
22069,689,Natchitoches
21125,690,Laurel
21003,691,Allen
51117,692,Mecklenburg
21207,693,Russell
51027,694,Buchanan
22111,695,Union
47075,696,Haywood
05107,697,Phillips
37177,698,Tyrrell
47083,699,Houston
51121,700,Montgomery
47125,701,Montgomery
21009,702,Barren
21169,703,Metcalfe
05001,704,Arkansas
37131,705,Northampton
21001,706,Adair
21213,707,Simpson
21119,708,Knott
47053,709,Gibson
51037,710,Charlotte
51750,711,Radford
21195,712,Pike
22061,713,Lincoln
05139,714,Union
05077,715,Lee
54047,716,McDowell
51025,717,Brunswick
51071,718,Giles
21203,719,Rockcastle
47033,720,Crockett
47167,721,Tipton
37091,722,Hertford
21141,723,Logan
37041,724,Chowan
47161,725,Stewart
05035,726,Crittenden
21227,727,Warren
47079,728,Henry
21045,729,Casey
51161,730,Roanoke
21189,731,Owsley
54055,732,Mercer
21071,733,Floyd
51019,734,Bedford
21109,735,Jackson
05095,736,Monroe
05079,737,Lincoln
05011,738,Bradley
51081,739,Greensville
21219,740,Todd
22013,741,Bienville
51031,742,Campbell
21025,743,Breathitt
05123,744,St. Francis
37143,745,Perquimans
22085,746,Sabine
21137,747,Lincoln
48361,748,Orange
21087,749,Green
48245,750,Jefferson
47097,751,Lauderdale
47183,752,Weakley
51111,753,Lunenburg
51770,754,Roanoke
21047,755,Christian
05069,756,Jefferson
21217,757,Taylor
48351,758,Newton
51775,759,Salem
51045,760,Craig
21061,761,Edmonson
54109,762,Wyoming
54063,763,Monroe
51175,764,Southampton
37073,765,Gates
21099,766,Hart
21153,767,Magoffin
51595,768,Emporia
54089,769,Summers
37139,770,Pasquotank
22081,771,Red River
51023,772,Botetourt
54059,773,Mingo
05093,774,Mississippi
21129,775,Lee
21221,776,Trigg
47045,777,Dyer
21035,778,Calloway
05025,779,Cleveland
21031,780,Butler
54081,781,Raleigh
21079,782,Garrard
51183,783,Sussex
22027,784,Claiborne
05013,785,Calhoun
05037,786,Cross
21065,787,Estill
37029,788,Camden
21155,789,Marion
21151,790,Madison
48241,791,Jasper
51147,792,Prince Edward
48403,793,Sabine
37053,794,Currituck
51800,795,Suffolk
51011,796,Appomattox
21237,797,Wolfe
51135,798,Nottoway
54045,799,Logan
47131,800,Obion
51053,801,Dinwiddie
51680,802,Lynchburg
21159,803,Martin
22031,804,De Soto
05111,805,Poinsett
21021,806,Boyle
21177,807,Muhlenberg
05117,808,Prairie
21115,809,Johnson
51620,810,Franklin
51093,811,Isle of Wight
21123,812,Larue
21083,813,Graves
21085,814,Grayson
21175,815,Morgan
22119,816,Webster
21197,817,Powell
51009,818,Amherst
48199,819,Hardin
51005,820,Alleghany
05103,821,Ouachita
21093,822,Hardin
21157,823,Marshall
54005,824,Boone
51550,825,Chesapeake
21179,826,Nelson
05147,827,Woodruff
54025,828,Greenbrier
51163,829,Rockbridge
21229,830,Washington
48457,831,Tyler
21183,832,Ohio
51029,833,Buckingham
05085,834,Lonoke
29155,835,Pemiscot
51049,836,Cumberland
21113,837,Jessamine
21165,838,Menifee
21167,839,Mercer
05039,840,Dallas
51149,841,Prince George
21105,842,Hickman
54099,843,Wayne
48071,844,Chambers
21075,845,Fulton
22015,846,Bossier
48167,847,Galveston
21033,848,Caldwell
51007,849,Amelia
21107,850,Hopkins
21049,851,Clark
47095,852,Lake
54019,853,Fayette
21127,854,Lawrence
21143,855,Lyon
05031,856,Craighead
05027,857,Columbia
22017,858,Caddo
51580,859,Covington
05053,860,Grant
21067,861,Fayette
48419,862,Shelby
21173,863,Montgomery
51125,864,Nelson
51810,865,Virginia Beach
54043,866,Lincoln
48405,867,San Augustine
29069,868,Dunklin
51181,869,Surry
21239,870,Woodford
51041,871,Chesterfield
51530,872,Buena Vista
48291,873,Liberty
51730,874,Petersburg
21027,875,Breckinridge
54039,876,Kanawha
21063,877,Elliott
48005,878,Angelina
29143,879,New Madrid
21011,880,Bath
21205,881,Rowan
51678,882,Lexington
51740,883,Portsmouth
21139,884,Livingston
51145,885,Powhatan
05067,886,Jackson
21005,887,Anderson
21149,888,McLean
51570,889,Colonial Heights
05119,890,Pulaski
51017,891,Bath
21039,892,Carlisle
29133,893,Mississippi
05145,894,White
21145,895,McCracken
21029,896,Bullitt
51710,897,Norfolk
51670,898,Hopewell
21017,899,Bourbon
21055,900,Crittenden
51700,901,Newport News
05055,902,Greene
21091,903,Hancock
21215,904,Spencer
54067,905,Nicholas
51003,906,Albemarle
21163,907,Meade
51650,908,Hampton
21043,909,Carter
21059,910,Daviess
54075,911,Pocahontas
51036,912,Charles City
21069,913,Fleming
48373,914,Polk
17151,915,Pope
51087,916,Henrico
05125,917,Saline
05099,918,Nevada
17127,919,Massac
21211,920,Shelby
51015,921,Augusta
21233,922,Webster
05021,923,Clay
21209,924,Scott
48347,925,Nacogdoches
48365,926,Panola
51095,927,James City
54011,928,Cabell
51065,929,Fluvanna
21007,930,Ballard
21019,931,Boyd
51760,932,Richmond
21181,933,Nicholas
21073,934,Franklin
05019,935,Clark
51075,936,Goochland
05073,937,Lafayette
54079,938,Putnam
51199,939,York
05059,940,Hot Spring
54015,941,Clay
18061,942,Harrison
51735,943,Poquoson
51830,944,Williamsburg
21111,945,Jefferson
21135,946,Lewis
18123,947,Perry
05075,948,Lawrence
29207,949,Stoddard
54101,950,Webster
51127,951,New Kent
51131,952,Northampton
05063,953,Independence
21097,954,Harrison
48201,955,Harris
21089,956,Greenup
21225,957,Union
51073,958,Gloucester
21101,959,Henderson
17003,960,Alexander
51085,961,Hanover
51109,962,Louisa
51820,963,Waynesboro
18147,964,Spencer
39087,965,Lawrence
48203,966,Harrison
17069,967,Hardin
48039,968,Brazoria
51091,969,Highland
51790,970,Staunton
05045,971,Faulkner
29201,972,Scott
48407,973,San Jacinto
21187,974,Owen
21201,975,Robertson
51540,976,Charlottesville
51097,977,King and Queen
54053,978,Mason
17153,979,Pulaski
29023,980,Butler
51101,981,King William
05057,982,Hempstead
21103,983,Henry
18043,984,Floyd
21161,985,Mason
51115,986,Mathews
05091,987,Miller
05121,988,Randolph
21185,989,Oldham
54083,990,Randolph
05023,991,Cleburne
18025,992,Crawford
17087,993,Johnson
17059,994,Gallatin
48401,995,Rusk
18173,996,Warrick
48315,997,Marion
18019,998,Clark
54087,999,Roane
51033,1000,Caroline
54007,1001,Braxton
54035,1002,Jackson
39145,1003,Scioto
21081,1004,Grant
05051,1005,Garland
39053,1006,Gallia
18163,1007,Vanderburgh
51165,1008,Rockingham
39001,1009,Adams
21023,1010,Bracken
48339,1011,Montgomery
05135,1012,Sharp
21191,1013,Pendleton
48067,1014,Cass
48455,1015,Trinity
17165,1016,Saline
51119,1017,Middlesex
18129,1018,Posey
17181,1019,Union
54013,1020,Calhoun
29181,1021,Ripley
51137,1022,Orange
05109,1023,Pike
39015,1024,Brown
51079,1025,Greene
05105,1026,Perry
51177,1027,Spotsylvania
54071,1028,Pendleton
21223,1029,Trimble
51057,1030,Essex
18037,1031,Dubois
51103,1032,Lancaster
18175,1033,Washington
51660,1034,Harrisonburg
51113,1035,Madison
21041,1036,Carroll
05137,1037,Stone
17199,1038,Williamson
48073,1039,Cherokee
29031,1040,Cape Girardeau
54021,1041,Gilmer
05141,1042,Van Buren
17193,1043,White
05029,1044,Conway
48321,1045,Matagorda
18117,1046,Orange
51001,1047,Accomack
48225,1048,Houston
48157,1049,Fort Bend
18077,1050,Jefferson
54097,1051,Upshur
51159,1052,Richmond
21077,1053,Gallatin
48037,1054,Bowie
05081,1055,Little River
29017,1056,Bollinger
18125,1057,Pike
39025,1058,Clermont
54041,1059,Lewis
29223,1060,Wayne
51133,1061,Northumberland
48183,1062,Gregg
18143,1063,Scott
39079,1064,Jackson
05065,1065,Izard
18051,1066,Gibson
51047,1067,Culpeper
51139,1068,Page
18155,1069,Switzerland
39105,1070,Meigs
05061,1071,Howard
21015,1072,Boone
21117,1073,Kenton
21037,1074,Campbell
05097,1075,Montgomery
48471,1076,Walker
17065,1077,Hamilton
54105,1078,Wirt
17077,1079,Jackson
